Strategy,Timeframe,Period,Risk,Trades,TradesPerDay,Return,MaxDrawdown,ProfitFactor,WinRate,Expectancy,Sharpe,Sortino,Fees,AvgTrade,AvgDuration,Status
EMATrendCrossover,1d,A_1m,3.0,1,0.0323,0.0699,0.0,0.0,100.0,9.9978,-100.0,-100.0,,9.9978,0:00:00,FAIL
EMATrendCrossover,1d,B_6m,3.0,11,0.0598,0.2156,0.2442,1.5589,54.5455,0.83,0.2471,1.5436,,0.83,"18 days, 17:27:00",LOW_ACTIVITY
EMATrendCrossover,1d,C_1y,3.0,15,0.0411,-0.0677,0.6067,0.909,46.6667,-0.7607,-0.0363,-0.1384,,-0.7607,"14 days, 8:00:00",FAIL
EMATrendCrossover,1d,D_13m,3.0,16,0.0404,-0.1436,0.6818,0.8247,43.75,-1.3493,-0.0721,-0.2673,,-1.3493,"15 days, 1:30:00",FAIL
EMATrendCrossover,1d,E_2y,3.0,32,0.0438,0.4717,0.7504,1.4403,59.375,1.8034,0.1473,0.4844,,1.8034,"14 days, 18:45:00",ACTIVE_CANDIDATE
EMATrendCrossover,1d,C_1y,2.0,15,0.0411,-0.057,0.4132,0.8905,46.6667,-0.7607,-0.0449,-0.2654,,-0.7607,"14 days, 8:00:00",FAIL
EMATrendCrossover,1d,C_1y,5.0,15,0.0411,-0.0873,0.9994,0.929,46.6667,-0.7607,-0.028,-0.1099,,-0.7607,"14 days, 8:00:00",FAIL
EMATrendCrossover,4h,B_6m,3.0,26,0.1413,0.5471,1.2854,1.2491,53.8462,1.0704,0.2852,0.7393,,1.0704,"18 days, 6:18:00",ACTIVE_CANDIDATE
EMATrendCrossover,1h,B_6m,3.0,43,0.2337,2.5156,2.1016,1.4387,55.814,1.6143,0.7384,1.7827,,1.6143,"17 days, 7:35:00",ACTIVE_CANDIDATE
EMATrendCrossover,4h,C_1y,3.0,56,0.1534,-1.064,2.6875,0.8007,42.8571,-1.3522,-0.3059,-0.9722,,-1.3522,"15 days, 4:09:00",FAIL
EMATrendCrossover,1h,C_1y,3.0,100,0.274,-4.2933,7.6718,0.7371,43.0,-1.2736,-0.7207,-1.5083,,-1.2736,"13 days, 15:53:00",FAIL
EMATrendCrossover,4h,E_2y,3.0,122,0.1671,-0.9927,3.5312,0.9065,45.9016,-0.8344,-0.147,-0.4361,,-0.8344,"13 days, 6:14:00",FAIL
EMATrendCrossover,1h,E_2y,3.0,230,0.3151,2.9849,7.3473,1.0978,50.0,0.01,0.257,0.661,,0.01,"11 days, 15:30:00",WATCH
RSIMomentum,1d,A_1m,3.0,3,0.0968,0.3677,0.0,0.0,100.0,9.9995,9.5081,-100.0,,9.9995,"1 day, 0:00:00",FAIL
RSIMomentum,1d,B_6m,3.0,20,0.1087,0.4732,0.1928,1.9599,65.0,2.9375,0.6944,3.8812,,2.9375,"20 days, 1:12:00",ACTIVE_CANDIDATE
RSIMomentum,1d,C_1y,3.0,44,0.1205,-0.0927,0.7697,0.941,45.4545,-1.0065,-0.0677,-0.3462,,-1.0065,"14 days, 4:55:00",FAIL
RSIMomentum,1d,D_13m,3.0,45,0.1136,-0.1336,0.8667,0.9157,46.6667,-0.7619,-0.093,-0.3915,,-0.7619,"15 days, 7:28:00",FAIL
RSIMomentum,1d,E_2y,3.0,94,0.1288,0.4689,0.9392,1.1684,52.1277,0.3401,0.1867,0.8564,,0.3401,"13 days, 17:06:00",ACTIVE_CANDIDATE
RSIMomentum,1d,C_1y,2.0,44,0.1205,-0.1742,0.6876,0.8698,45.4545,-1.0065,-0.1597,-2.3121,,-1.0065,"14 days, 4:55:00",FAIL
RSIMomentum,1d,C_1y,5.0,44,0.1205,-0.0919,1.2059,0.9634,45.4545,-1.0065,-0.0411,-0.1656,,-1.0065,"14 days, 4:55:00",FAIL
RSIMomentum,4h,B_6m,3.0,41,0.2228,0.9424,1.4866,1.343,51.2195,0.7008,0.5755,1.6703,,0.7008,"17 days, 11:54:00",ACTIVE_CANDIDATE
RSIMomentum,1h,B_6m,3.0,45,0.2446,1.9409,2.351,1.3607,55.5556,1.5163,0.6575,1.3685,,1.5163,"18 days, 20:51:00",ACTIVE_CANDIDATE
RSIMomentum,4h,C_1y,3.0,101,0.2767,-2.0638,3.9961,0.7518,42.5743,-1.3669,-0.6887,-1.5956,,-1.3669,"13 days, 5:45:00",FAIL
RSIMomentum,1h,C_1y,3.0,137,0.3753,-6.0793,9.4265,0.6834,41.6058,-1.6239,-1.229,-2.64,,-1.6239,"11 days, 23:09:00",FAIL
RSIMomentum,4h,E_2y,3.0,222,0.3041,1.4158,3.6886,1.101,50.9009,0.193,0.2601,0.7479,,0.193,"11 days, 20:15:00",ACTIVE_CANDIDATE
RSIMomentum,1h,E_2y,3.0,326,0.4466,-0.0778,9.0962,0.9979,49.0798,-0.208,-0.0082,-0.0194,,-0.208,"9 days, 23:02:00",FAIL
MACDMomentum,1d,A_1m,3.0,6,0.1935,0.4094,0.0502,9.1168,83.3333,5.8958,3.6861,-100.0,,5.8958,"3 days, 0:00:00",LOW_ACTIVITY
MACDMomentum,1d,B_6m,3.0,23,0.125,0.4344,0.529,1.6822,60.8696,1.9113,0.5898,2.5225,,1.9113,"15 days, 1:03:00",ACTIVE_CANDIDATE
MACDMomentum,1d,C_1y,3.0,46,0.126,-0.1258,0.8088,0.9225,47.8261,-0.6244,-0.0921,-0.3401,,-0.6244,"15 days, 16:42:00",FAIL
MACDMomentum,1d,D_13m,3.0,50,0.1263,0.1405,0.6674,1.088,50.0,-0.1781,0.0971,0.5042,,-0.1781,"16 days, 9:36:00",FAIL
MACDMomentum,1d,E_2y,3.0,103,0.1411,0.8705,0.6626,1.293,55.3398,0.9452,0.3331,1.4724,,0.9452,"13 days, 18:10:00",ACTIVE_CANDIDATE
MACDMomentum,1d,C_1y,2.0,46,0.126,-0.1295,0.6411,0.9032,47.8261,-0.6244,-0.1198,-0.8092,,-0.6244,"15 days, 16:42:00",FAIL
MACDMomentum,1d,C_1y,5.0,46,0.126,-0.126,1.2499,0.95,47.8261,-0.6244,-0.0572,-0.1613,,-0.6244,"15 days, 16:42:00",FAIL
MACDMomentum,4h,B_6m,3.0,41,0.2228,0.2669,1.6993,1.0817,53.6585,0.5245,0.1535,0.4933,,0.5245,"18 days, 2:09:00",WATCH
MACDMomentum,1h,B_6m,3.0,61,0.3315,0.6885,5.0454,1.0874,54.0984,0.9109,0.2384,0.5041,,0.9109,"14 days, 4:25:00",WATCH
MACDMomentum,4h,C_1y,3.0,111,0.3041,-2.368,4.0161,0.7291,43.2432,-1.4985,-0.8406,-2.0387,,-1.4985,"12 days, 20:28:00",FAIL
MACDMomentum,1h,C_1y,3.0,157,0.4301,-7.0021,11.0312,0.6697,42.0382,-1.6286,-1.475,-3.3072,,-1.6286,"10 days, 20:15:00",FAIL
MACDMomentum,4h,E_2y,3.0,253,0.3466,0.5847,3.9183,1.036,49.4071,-0.2287,0.1078,0.2802,,-0.2287,"10 days, 22:04:00",FAIL
MACDMomentum,1h,E_2y,3.0,366,0.5014,1.3007,10.9793,1.0327,51.0929,0.1602,0.1383,0.3186,,0.1602,"9 days, 3:01:00",WATCH
Score4WindowStrategy,1d,A_1m,3.0,19,0.6129,3.3593,0.4134,5.4023,68.4211,4.5941,8.64,24.2871,,4.5941,"6 days, 8:51:00",STRONG_CANDIDATE
Score4WindowStrategy,1d,B_6m,3.0,42,0.2283,2.4875,1.2821,1.7855,57.1429,1.7956,1.0821,2.7056,,1.7956,"15 days, 12:34:00",STRONG_CANDIDATE
Score4WindowStrategy,1d,C_1y,3.0,74,0.2027,0.0833,3.72,1.0114,44.5946,-0.9284,0.0189,0.0452,,-0.9284,"12 days, 21:05:00",FAIL
Score4WindowStrategy,1d,D_13m,3.0,85,0.2146,0.0145,3.3879,1.0017,45.8824,-0.7011,0.003,0.0065,,-0.7011,"12 days, 17:13:00",FAIL
Score4WindowStrategy,1d,E_2y,3.0,203,0.2781,6.8051,3.5922,1.4231,53.6946,0.7481,0.821,1.8649,,0.7481,"10 days, 14:11:00",STRONG_CANDIDATE
Score4WindowStrategy,1d,C_1y,2.0,74,0.2027,0.0846,2.507,1.0169,44.5946,-0.9284,0.0281,0.0674,,-0.9284,"12 days, 21:05:00",FAIL
Score4WindowStrategy,1d,C_1y,5.0,74,0.2027,0.0844,5.9835,1.0072,44.5946,-0.9284,0.012,0.029,,-0.9284,"12 days, 21:05:00",FAIL
Score4WindowStrategy,4h,B_6m,3.0,58,0.3152,2.6462,5.2356,1.249,51.7241,0.6978,0.5893,1.3988,,0.6978,"14 days, 8:00:00",ACTIVE_CANDIDATE
Score4WindowStrategy,1h,B_6m,3.0,54,0.2935,5.4609,7.6965,1.3518,57.4074,1.7811,0.7496,1.4703,,1.7811,"16 days, 9:37:00",ACTIVE_CANDIDATE
Score4WindowStrategy,4h,C_1y,3.0,124,0.3397,-10.1653,17.3925,0.6431,41.129,-1.6737,-1.2252,-2.1913,,-1.6737,"12 days, 6:02:00",FAIL
Score4WindowStrategy,1h,C_1y,3.0,149,0.4082,-18.2211,28.1503,0.6297,42.953,-1.3749,-1.5485,-2.651,,-1.3749,"11 days, 12:13:00",FAIL
Score4WindowStrategy,4h,E_2y,3.0,310,0.4247,5.1945,17.1799,1.0875,52.2581,0.4487,0.2962,0.601,,0.4487,"9 days, 21:05:00",WATCH
Score4WindowStrategy,1h,E_2y,3.0,378,0.5178,6.0213,27.9988,1.0507,51.3228,0.2314,0.2112,0.4022,,0.2314,"9 days, 2:47:00",WATCH
ADXTrend,1d,A_1m,3.0,4,0.129,0.173,0.0193,9.931,50.0,4.5471,1.8801,13.2161,,4.5471,"15 days, 0:00:00",FAIL
