Strategy,Status,AvgReturn_1d_r3,AvgMaxDD_1d_r3,AvgPF_1d_r3,AvgExpectancy_1d_r3,AvgTrades_1d_r3,AvgTradesPerDay_1d_r3,AvgSharpe_1d_r3,AvgSortino_1d_r3,BestTimeframe,NRuns
Score4WindowStrategy,STRONG_CANDIDATE,2.5499,2.4791,2.1248,1.1017,84.6,0.3073,2.113,5.7819,1d,13
RSIMomentum,ACTIVE_CANDIDATE,0.2167,0.5537,0.997,2.3017,41.2,0.1137,2.0457,-19.2,1d,13
TimeSeriesMomentum,ACTIVE_CANDIDATE,0.2397,0.6098,1.1464,2.4049,27.0,0.0845,1.5348,-18.7347,1d,13
VWAPPullback,ACTIVE_CANDIDATE,0.2694,0.5007,5.064,1.6137,33.0,0.1157,1.184,18.4919,1d,13
ATRVolatilityBreakout,ACTIVE_CANDIDATE,0.1748,0.6264,2.1593,0.6744,31.0,0.1315,1.0061,2.6949,1d,13
MultiIndicatorConfluence,ACTIVE_CANDIDATE,-0.0514,0.7269,2.338,0.3475,51.0,0.1812,0.9482,11.0626,1d,13
MACDMomentum,ACTIVE_CANDIDATE,0.3458,0.5436,2.8205,1.59,45.6,0.1424,0.9228,-19.1682,1d,13
KeltnerChannel,ACTIVE_CANDIDATE,0.0802,0.6838,2.2297,-0.1541,34.2,0.1414,0.8785,3.3926,1d,13
DonchianBreakout,ACTIVE_CANDIDATE,0.1778,0.6401,1.7833,0.5357,37.2,0.1353,0.7385,2.1449,1d,13
BollingerBreakout,ACTIVE_CANDIDATE,0.1564,0.5753,1.784,0.8318,35.2,0.125,0.7127,6.7948,1d,13
VolumeConfirmedBreakout,ACTIVE_CANDIDATE,-0.0343,0.7032,1.6648,-0.5924,25.8,0.1079,0.6361,1.7836,1d,13
SupertrendStrategy,ACTIVE_CANDIDATE,0.1966,0.4927,1.5545,3.0391,20.2,0.0525,-19.8401,-17.891,1d,13
EMATrendCrossover,ACTIVE_CANDIDATE,0.1092,0.4566,0.9466,2.1042,15.0,0.0435,-19.9428,-19.6755,1h,13
TrendVolume,LOW_ACTIVITY,0.0649,0.4861,0.8637,1.266,24.0,0.0749,1.9839,-19.7746,1d,13
TrendMomVol,LOW_ACTIVITY,-0.1483,0.668,0.7439,0.6383,27.0,0.0813,1.8639,-20.3328,1d,13
ADXTrend,LOW_ACTIVITY,-0.1943,0.537,2.6951,-0.7592,17.2,0.0641,0.2476,2.3319,1d,13
TTMSqueeze,FAIL,0.0511,0.5215,0.7985,0.8604,22.0,0.0729,2.5384,-19.9969,1d,13
TrendPullbackRetest,FAIL,-0.3229,0.6372,0.4954,-0.8369,21.4,0.0645,0.424,-21.5023,1d,13
BollingerMeanReversion,FAIL,-0.2075,0.6233,0.5997,-0.8452,34.2,0.0762,-0.1852,-0.8332,4h,13
RSIMeanReversion,FAIL,-0.194,0.3324,0.4518,-1.8216,14.2,0.0339,-0.1921,-1.1259,1h,13
ZScoreMeanReversion,FAIL,-0.1442,0.6008,0.6256,1.4737,24.2,0.0645,-20.137,-20.6626,4h,13
